stroke_amplitude,right_stroke_vel,right_motor_torque,right_motor_current,right_motor_voltage,right_motor_output_power,right_motor_efficiency_1,motor_efficiency,time
0.039478351,197.3917555,0.076692822,47.90201943,597.4373348,121.1082462,0.005778504,0.004231823,0
0.078927837,197.2474308,0.008394214,4.906507854,64.29046702,13.24589768,0.053659116,0.04199159,0.0002
0.118289559,196.8086066,0.005289763,3.126369785,42.20908012,8.328567379,0.08154868,0.063113763,0.0004
0.157505142,196.0779191,0.005261773,3.104095334,41.92009753,8.253739346,0.081805997,0.063429811,0.0006
0.196516665,195.0576135,0.005137091,3.026448782,40.9394356,8.016230464,0.083329695,0.06469862,0.0008
0.235266731,193.7503318,0.004657845,2.746082723,37.44003269,7.219672708,0.090507585,0.070221108,0.001
0.273698467,192.1586764,0.003827307,2.264867712,31.44512922,5.883601221,0.106877271,0.082612736,0.0012
0.311755601,190.2856708,0.002039142,1.236338296,18.65860642,3.104156781,0.17836335,0.134563453,0.0014
0.349382685,188.1354221,0.002206175,1.324988104,19.72025715,3.32047732,0.166854044,0.127079637,0.0016
0.386524955,185.7113506,0.002059552,1.234318351,18.55355629,3.059857286,0.175061249,0.133612417,0.0018
0.423128455,183.0174962,0.001904892,1.138983071,17.3242845,2.789028311,0.184763441,0.141344966,0.002
0.459140126,180.058356,0.001742982,1.039443815,16.03824368,2.510707928,0.196351947,0.150604645,0.0022
0.494507848,176.838613,0.001574328,0.9359959,14.69917766,2.227216091,0.210408267,0.161880811,0.0024
0.529180504,173.3632797,0.001399869,0.829185514,13.31394685,1.941487516,0.227734608,0.175863648,0.0026
0.563108065,169.6378035,0.001220247,0.719390805,11.88733554,1.655999616,0.249584068,0.193647024,0.0028
0.596241622,165.6677826,0.001036297,0.607096532,10.42545266,1.373448715,0.277921329,0.21700002,0.003
0.628533472,161.459252,0.000848902,0.492817837,8.934791512,1.096504415,0.316051061,0.249023047,0.0032
0.659937165,157.0184628,0.000658914,0.377050609,7.421610461,0.827693109,0.370025202,0.295781861,0.0034
0.690407612,152.3522377,0.000467102,0.260249328,5.891664389,0.569312157,0.452261456,0.371298197,0.0036
0.719901018,147.4670277,0.000274803,0.143174246,4.354493224,0.324195096,0.592292246,0.520000686,0.0038
0.748375067,142.3702462,8.25E-05,0.026126579,2.81396171,0.093967934,0.884870653,1.278141557,0.004
0.775788927,137.0693025,-0.000108659,-0.090238884,1.278318831,0.119150704,1.875338871,1.03291292,0.0042
0.802103319,131.5719597,-0.000297929,-0.205479335,-0.24680883,0.313593024,-9.323551828,6.183545332,0.0044
0.827280543,125.8861169,-0.000484224,-0.318968657,-1.753519283,0.487656524,-1.255584746,0.871877526,0.0046
0.85128456,120.0200868,-0.000666845,-0.430294966,-3.23655977,0.640278664,-0.648558334,0.459747242,0.0048
0.87408102,113.9822988,-0.000844766,-0.538863748,-4.688410881,0.770306611,-0.425197288,0.304901101,0.005
0.895637302,107.7814094,-0.00099972,-0.63422858,-5.979385597,0.862009985,-0.315257942,0.227305491,0.0052
0.915922586,101.4264237,-0.001089081,-0.692018235,-6.807123175,0.883692391,-0.260595098,0.187594443,0.0054
0.934907872,94.92642908,-0.001174554,-0.74748689,-7.608616517,0.89196949,-0.218202734,0.156834182,0.0056
0.952566022,88.29075005,-0.001255837,-0.800451919,-8.381437939,0.887030672,-0.184236389,0.132216256,0.0058
0.968871801,81.52889513,-0.001332619,-0.850725326,-9.123090013,0.869175648,-0.15629617,0.111989222,0.006
0.98380191,74.65054426,-0.001404601,-0.898128278,-9.831185909,0.838833832,-0.132802365,0.095001762,0.0062
0.997335009,67.66549635,-0.001471484,-0.942481489,-10.5033311,0.796549382,-0.112672766,0.080466075,0.0064
1.009451773,60.58381646,-0.00153307,-0.983661422,-11.13781769,0.743033976,-0.095133892,0.067820803,0.0066
1.020134888,53.41557768,-0.001589049,-1.02148416,-11.73218895,0.679039876,-0.079628332,0.056661047,0.0068
1.029369091,46.17101305,-0.001639226,-1.055829552,-12.284776,0.605477904,-0.065732614,0.046680688,0.007
1.037141183,38.86045944,-0.001683404,-1.086576598,-12.7938977,0.523342682,-0.053123147,0.037646355,0.0072
1.043440051,31.49434328,-0.001721407,-1.113617822,-13.25803897,0.43371655,-0.041546267,0.029375856,0.0074
1.048256685,24.0831662,-0.001753085,-1.136859956,-13.67585962,0.337758741,-0.030799076,0.02172426,0.0076
1.051584183,16.63749044,-0.001778314,-1.156224239,-14.04619827,0.236693511,-0.020716089,0.014574226,0.0078
1.053417768,9.16792425,-0.001796995,-1.17164689,-14.36807853,0.131797693,-0.011159663,0.00782911,0.008
