AR,AR2,AR3,TR,TR2,TR3,RT,RT2,RT3,,R(mm),CT(mm),CR(mm),,mass,Ixx,Iyy,Izz,Ixz
3,9,27,0.4,0.16,0.064,2.00E+06,4.00E+12,8.00E+18,,69.18340994,13.17779237,32.94448093,,11.805,1.219,22.168,20.949,4.076
4,16,64,0.6,0.36,0.216,2.00E+06,4.00E+12,8.00E+18,,72.36870432,13.56913206,22.6152201,,11.071,0.936,22.598,21.662,3.632
5,25,125,0.8,0.64,0.512,2.00E+06,4.00E+12,8.00E+18,,75.07342153,13.34638605,16.68298256,,10.119,0.69,22.643,21.953,3.144
3,9,27,0.4,0.16,0.064,3.00E+06,9.00E+12,2.70E+19,,76.56402893,14.58362456,36.45906139,,13.115,1.677,29.835,28.158,5.506
4,16,64,0.6,0.36,0.216,3.00E+06,9.00E+12,2.70E+19,,80.08913663,15.01671312,25.0278552,,12.279,1.279,30.412,29.133,4.891
5,25,125,0.8,0.64,0.512,3.00E+06,9.00E+12,2.70E+19,,83.08239825,14.77020413,18.46275517,,11.21,0.938,30.495,29.558,4.228
2.8,7.84,21.952,0.4,0.16,0.064,4.00E+06,1.60E+13,6.40E+19,,80.86650191,16.50336774,41.25841934,,14.661,2.318,37.421,35.103,7.361
3.4,11.56,39.304,0.4,0.16,0.064,4.00E+06,1.60E+13,6.40E+19,,84.88850368,14.26697541,35.66743852,,13.194,1.751,35.807,34.056,5.905
4,16,64,0.4,0.16,0.064,4.00E+06,1.60E+13,6.40E+19,,88.40852542,12.62978935,31.57447337,,12.049,1.373,34.442,33.07,4.866
4.6,21.16,97.336,0.4,0.16,0.064,4.00E+06,1.60E+13,6.40E+19,,91.55216252,11.37293944,28.43234861,,11.121,1.106,33.278,32.173,4.095
5.2,27.04,140.608,0.4,0.16,0.064,4.00E+06,1.60E+13,6.40E+19,,94.40173692,10.37381724,25.93454311,,10.351,0.909,32.275,31.366,3.505
2.8,7.84,21.952,0.5,0.25,0.125,4.00E+06,1.60E+13,6.40E+19,,79.68565207,18.9727743,37.94554861,,15.661,2.669,39.272,36.603,8.457
