R,R2,R3,R4,Ng,Ng2,Ng3,Ng4,mass,Ixx,Iyy,Izz,Iyz
80.86650191,6539.391131,528817.6854,42763636.37,8.75,76.5625,669.921875,5861.816406,506.34,311.37,47.78,279.6,22.94
84.88850368,7206.058057,611711.4859,51927272.72,8.75,76.5625,669.921875,5861.816406,511.96,352.08,47.97,320.12,25.71
88.40852542,7816.067367,691006.9905,61090909.08,8.75,76.5625,669.921875,5861.816406,516.886,390.92,48.13,358.8,28.23
91.55216252,8381.798462,767371.775,70254545.46,8.75,76.5625,669.921875,5861.816406,521.281,428.25,48.28,395.98,30.57
94.40173692,8911.687934,841278.8198,79418181.82,8.75,76.5625,669.921875,5861.816406,525.264,464.32,48.42,431.92,32.76
79.68565207,6349.803146,505988.2042,40319999.99,8.75,76.5625,669.921875,5861.816406,504.691,300.14,47.72,268.43,22.16
83.64892273,6997.142274,585303.4134,48960000,8.75,76.5625,669.921875,5861.816406,510.232,339.12,47.91,307.22,24.84
87.11754349,7589.466384,661175.6678,57599999.99,8.75,76.5625,669.921875,5861.816406,515.081,376.32,48.07,344.25,27.3
90.21527576,8138.79598,734243.7237,66240000.01,8.75,76.5625,669.921875,5861.816406,519.412,412.06,48.22,379.86,29.57
93.02323936,8653.323061,804960.1424,74880000,8.75,76.5625,669.921875,5861.816406,523.337,446.6,48.35,414.27,31.7
78.71958685,6196.773354,487807.4382,38400000,8.75,76.5625,669.921875,5861.816406,503.341,291.19,47.68,259.52,21.52
82.63480898,6828.511655,564272.7562,46628571.42,8.75,76.5625,669.921875,5861.816406,508.814,328.79,47.86,296.94,24.14
86.06137809,7406.560799,637418.8292,54857142.87,8.75,76.5625,669.921875,5861.816406,513.605,364.68,48.02,332.67,26.54
89.12155514,7942.651591,707861.4617,63085714.29,8.75,76.5625,669.921875,5861.816406,517.883,399.16,48.17,367.01,28.76
91.89547653,8444.778607,776036.9543,71314285.72,8.75,76.5625,669.921875,5861.816406,521.76,432.48,48.3,400.2,30.83
77.91375316,6070.552931,472979.5626,36851612.89,8.75,76.5625,669.921875,5861.816406,502.214,283.88,47.64,252.25,21
81.7888961,6689.423525,547120.5657,44748387.1,8.75,76.5625,669.921875,5861.816406,507.632,320.37,47.82,288.56,23.57
85.18038823,7255.698539,618043.2184,52645161.29,8.75,76.5625,669.921875,5861.816406,512.373,355.18,47.98,323.21,25.91
88.20923898,7780.869841,686344.6073,60541935.49,8.75,76.5625,669.921875,5861.816406,516.607,388.64,48.12,356.52,28.09
90.9547644,8272.769167,752447.7705,68438709.69,8.75,76.5625,669.921875,5861.816406,520.446,420.96,48.25,388.72,30.12
77.23083232,5964.601461,460651.1353,35576470.59,8.75,76.5625,669.921875,5861.816406,501.259,277.81,47.61,246.21,20.56
81.07200929,6572.67069,532859.6193,43200000,8.75,76.5625,669.921875,5861.816406,506.629,313.36,47.79,281.58,23.08
84.4337747,7129.06231,601933.6409,50823529.42,8.75,76.5625,669.921875,5861.816406,511.329,347.28,47.95,315.34,25.39
87.4360773,7645.067614,668454.7228,58447058.82,8.75,76.5625,669.921875,5861.816406,515.526,379.88,48.09,347.8,27.53
90.15753795,8128.381649,732834.877,66070588.24,8.75,76.5625,669.921875,5861.816406,519.33,411.38,48.22,379.17,29.53
90,8100,729000,65610000,8,64,512,4096,484.1,406.01,43.86,373.19,30.58
90,8100,729000,65610000,8.25,68.0625,561.515625,4632.503906,495.42,407.1,45.22,374.44,30.22
90,8100,729000,65610000,8.5,72.25,614.125,5220.0625,507.09,408.27,46.66,375.8,29.82
90,8100,729000,65610000,8.75,76.5625,669.921875,5861.816406,519.11,409.5,48.21,377.3,29.41
90,8100,729000,65610000,9,81,729,6561,531.48,410.81,49.86,378.94,28.97
90,8100,729000,65610000,9.25,85.5625,791.453125,7320.941406,544.19,412.19,51.61,380.73,28.5
90,8100,729000,65610000,9.5,90.25,857.375,8145.0625,557.26,413.66,53.48,382.68,28
90,8100,729000,65610000,9.75,95.0625,926.859375,9036.878906,570.67,415.21,55.47,384.79,27.48
90,8100,729000,65610000,10,100,1000,10000,584.43,416.85,57.58,387.07,26.92
