AR,TR,R22(mm^4),,R,R2,R3,CT,CT2,CT3,CR,CR2,CR3,RCT,RCR,CTCR,mass,Ixx,Iyy,Izz,Iyz
3,0.4,2.00E+06,,69.18340994,4786.344211,331135.6137,13.17779237,173.6542117,2288.379147,32.94448093,1085.338823,35755.92417,911.6846117,2279.211529,434.1355294,11.805,22.168,1.219,20.949,4.076
4,0.6,2.00E+06,,72.36870432,5237.229366,379011.5034,13.56913206,184.1213449,2498.366844,22.6152201,511.4481802,11566.51317,981.9805061,1636.634177,306.8689081,11.071,22.598,0.936,21.662,3.632
5,0.8,2.00E+06,,75.07342153,5636.01862,423115.2016,13.34638605,178.1260206,2377.338636,16.68298256,278.3219071,4643.239523,1001.958866,1252.448582,222.6575257,10.119,22.643,0.69,21.953,3.144
3,0.4,3.00E+06,,76.56402893,5862.050526,448822.206,14.58362456,212.6821052,3101.675973,36.45906139,1329.263158,48463.68708,1116.581052,2791.452631,531.7052631,13.115,29.835,1.677,28.158,5.506
4,0.6,3.00E+06,,80.08913663,6414.269806,513713.3309,15.01671312,225.5016729,3386.293929,25.0278552,626.3935357,15677.28671,1202.675589,2004.459314,375.8361214,12.279,30.412,1.279,29.133,4.891
5,0.8,3.00E+06,,83.08239825,6902.6849,573491.6159,14.77020413,218.1589302,3222.251932,18.46275517,340.8733284,6293.460805,1227.143982,1533.929978,272.6986627,11.21,30.495,0.938,29.558,4.228
2.8,0.4,4.00E+06,,80.86650191,6539.391131,528817.6854,16.50336774,272.3611466,4494.87616,41.25841934,1702.257167,70232.44,1334.569619,3336.424046,680.9028666,14.661,37.421,2.318,35.103,7.361
3.4,0.4,4.00E+06,,84.88850368,7206.058057,611711.4859,14.26697541,203.5465873,2903.994156,35.66743852,1272.166171,45374.90868,1211.102195,3027.755486,508.8664683,13.194,35.807,1.751,34.056,5.905
4,0.4,4.00E+06,,88.40852542,7816.067367,691006.9905,12.62978935,159.5115789,2014.59764,31.57447337,996.9473683,31478.08813,1116.581052,2791.452631,398.7789473,12.049,34.442,1.373,33.07,4.866
4.6,0.4,4.00E+06,,91.55216252,8381.798462,767371.775,11.37293944,129.3437516,1471.018654,28.43234861,808.3984474,22984.66647,1041.2172,2603.043001,323.359379,11.121,33.278,1.106,32.173,4.095
5.2,0.4,4.00E+06,,94.40173692,8911.687933,841278.8198,10.37381724,107.6160842,1116.38959,25.93454311,672.6005263,17443.58734,979.3063663,2448.265916,269.0402105,10.351,32.275,0.909,31.366,3.505
2.8,0.5,4.00E+06,,79.68565207,6349.803147,505988.2043,18.9727743,359.9661648,6829.556801,37.94554861,1439.864659,54636.45441,1511.857892,3023.715784,719.9323295,15.661,39.272,2.669,36.603,8.457
3.4,0.5,4.00E+06,,83.64892273,6997.142274,585303.4134,16.40174955,269.0173885,4412.355831,32.80349911,1076.069554,35298.84665,1371.988681,2743.977362,538.0347769,13.973,37.61,1.94,35.67,6.7
4,0.5,4.00E+06,,87.11754349,7589.466384,661175.6678,14.51959058,210.8185107,3060.998462,29.03918116,843.2740427,24487.9877,1264.911064,2529.822128,421.6370214,12.673,36.281,1.475,34.805,5.472
4.6,0.5,4.00E+06,,90.21527576,8138.79598,734243.7236,13.07467765,170.9471955,2235.079476,26.14935529,683.7887822,17880.63581,1179.535649,2359.071298,341.8943911,11.632,35.178,1.159,34.019,4.575
5.2,0.5,4.00E+06,,93.02323936,8653.323061,804960.1424,11.92605633,142.2308195,1696.252766,23.85211266,568.9232782,13570.02212,1109.400392,2218.800785,284.4616391,10.776,34.241,0.935,33.307,3.899
2.8,0.6,4.00E+06,,78.71958685,6196.773354,487807.4382,21.08560362,444.60268,9374.71588,35.1426727,1235.007445,43401.46241,1659.850006,2766.416676,741.0044667,16.548,40.653,3.057,37.596,9.494
3.4,0.6,4.00E+06,,82.63480898,6828.511655,564272.7563,18.22826669,332.2697064,6056.700821,30.38044448,922.9714067,28040.28158,1506.289336,2510.482226,553.782844,14.655,38.879,2.152,36.728,7.448
4,0.6,4.00E+06,,86.06137809,7406.560798,637418.8292,16.13650839,260.3869031,4201.735446,26.89418065,723.2969529,19452.47892,1388.73015,2314.550249,433.9781718,13.214,37.565,1.595,35.969,6.042
4.6,0.6,4.00E+06,,89.12155514,7942.65159,707861.4617,14.53068834,211.1409036,3068.022665,24.2178139,586.5025099,14203.80864,1294.997542,2158.329237,351.901506,12.071,36.519,1.228,35.291,5.03
5.2,0.6,4.00E+06,,91.89547653,8444.778607,776036.9542,13.25415527,175.6726319,2328.392339,22.09025878,487.979533,10779.59416,1217.996914,2029.994857,292.7877198,11.139,35.649,0.973,34.675,4.274
2.8,0.7,4.00E+06,,77.91375316,6070.552932,472979.5627,22.91580975,525.1343367,12033.87856,32.73687108,1071.702728,35084.19404,1785.456745,2550.652493,750.1919096,17.346,41.765,3.469,38.296,10.468
3.4,0.7,4.00E+06,,81.7888961,6689.423525,547120.5656,19.81045926,392.4542962,7774.699847,28.30065609,800.9271351,22666.7634,1620.275594,2314.67942,560.6489946,15.26,39.813,2.378,37.436,8.142
4,0.7,4.00E+06,,85.18038823,7255.698539,618043.2184,17.53713875,307.5512357,5393.568693,25.05305536,627.655583,15724.69007,1493.820287,2134.028982,439.3589081,13.688,38.488,1.726,36.762,6.571
4.6,0.7,4.00E+06,,88.20923898,7780.869841,686344.6073,15.79193537,249.3852226,3938.275317,22.55990767,508.9494339,11481.85224,1392.994601,1989.992287,356.2646038,12.452,37.488,1.306,36.182,5.453
5.2,0.7,4.00E+06,,90.9547644,8272.769166,752447.7704,14.4046007,207.4925212,2988.846916,20.57800099,423.4541249,8713.839404,1310.167063,1871.667232,296.4178874,11.452,36.681,1.02,35.66,4.625
2.8,0.8,4.00E+06,,77.23083232,5964.601461,460651.1353,24.51772455,601.1188169,14738.06557,30.64715568,939.2481515,28785.28432,1893.524273,2366.905342,751.3985212,18.072,42.726,3.896,38.831,11.385
3.4,0.8,4.00E+06,,81.07200929,6572.67069,532859.6192,21.19529655,449.2405957,9521.787646,26.49412068,701.9384307,18597.2415,1718.345278,2147.931598,561.5507446,15.802,40.53,2.611,37.919,8.786
4,0.8,4.00E+06,,84.4337747,7129.062309,601933.6408,18.76306104,352.0524597,6605.581792,23.4538263,550.0819683,12901.52694,1584.236069,1980.295086,440.0655747,14.107,39.168,1.862,37.306,7.059
4.6,0.8,4.00E+06,,87.4360773,7645.067614,668454.7229,16.89586035,285.4700969,4823.262891,21.11982544,446.0470264,9420.435334,1477.307752,1846.634689,356.8376211,12.786,38.203,1.39,36.814,5.844
5.2,0.8,4.00E+06,,90.15753795,8128.381649,732834.877,15.41154495,237.5157177,3660.484159,19.26443119,371.1183089,7149.383124,1389.466949,1736.833686,296.8946471,11.723,37.453,1.073,36.38,4.95
3,0.4,5.00E+06,,86.99353244,7567.874687,658356.1521,16.57019666,274.5714172,4549.702379,41.42549164,1716.071358,71089.09967,1441.49994,3603.749851,686.428543,14.965,43.423,2.501,40.923,8.044
4,0.6,5.00E+06,,90.99882808,8280.786712,753541.8864,17.06228027,291.1214078,4967.195052,28.43713378,808.6705774,22996.27339,1552.647509,2587.745848,485.2023464,13.986,44.263,1.893,42.37,7.12
5,0.8,5.00E+06,,94.39982991,8911.327887,841227.8368,16.78219198,281.6419678,4726.569574,20.97773998,440.0655747,9231.581199,1584.236069,1980.295086,352.0524597,12.751,44.422,1.38,43.042,6.148
3,0.4,6.00E+06,,91.05048795,8290.191356,754825.9682,17.34295009,300.7779177,5216.376414,43.35737522,1879.861986,81505.88146,1579.084068,3947.71017,751.9447942,15.684,49.66,2.882,46.778,9.209
4,0.6,6.00E+06,,95.24257111,9071.147352,863959.3968,17.85798208,318.9075241,5695.044852,29.76330347,885.8542336,26365.94839,1700.840129,2834.733548,531.5125402,14.65,50.622,2.177,48.445,8.143
5,0.8,6.00E+06,,98.80217914,9761.870602,964494.0879,17.56483185,308.5233178,5419.160198,21.95603981,482.067684,10584.29726,1735.443663,2169.304578,385.6541472,13.351,50.818,1.584,49.234,7.028
